variable,hh_size,employed_members,children,dti,volatility,read_contract
hh_size,1,0.3773971292912081,0.45401881250941073,-0.04098515714597184,-0.001032229481173766,-0.054882360463941765
employed_members,0.3773971292912081,1,-0.02987724431936763,-0.1087531807569206,-0.10711108764839146,0.03222088382283792
children,0.45401881250941073,-0.02987724431936763,1,-0.009327221741971516,-0.021358906918904717,-0.05493092241754945
dti,-0.04098515714597184,-0.1087531807569206,-0.009327221741971516,1,-0.011134239366928153,-0.008825035335986846
volatility,-0.001032229481173766,-0.10711108764839146,-0.021358906918904717,-0.011134239366928153,1,-0.11536620191822082
read_contract,-0.054882360463941765,0.03222088382283792,-0.05493092241754945,-0.008825035335986846,-0.11536620191822082,1
