kredit_turi,n,share
oilaviy,666,0.4367213114754098
mikroqarz,626,0.4104918032786885
ipoteka,68,0.04459016393442623
avtokredit,66,0.043278688524590166
kredit_karta,65,0.04262295081967213
talim_krediti,21,0.01377049180327869
istemol_kredit,13,0.008524590163934427
