term,estimate,std_error,z_value,p_value,odds_ratio
(Intercept),0.6236271033849518,0.3396901009178399,1.8358707000878636,0.06637678198856932,1.8656828087528539
hh_size,0.06384163444210798,0.03246338774269067,1.9665733887087098,0.04923241389443179,1.0659235798119173
employed_members,-0.2650305184010401,0.05735080828785186,-4.621216793856056,3.814958559079369e-6,0.7671825364342677
children,0.006146015688369358,0.04718966091148096,0.13024072582123747,0.8963759744221719,1.006164941195078
dti,0.0957929357745298,0.033022712676929834,2.9008197088984815,0.0037218795040480355,1.100531159767184
volatility,0.20172251267011118,0.04477421387402716,4.505327848695683,6.627054625991793e-6,1.2235084529087097
read_contract,-0.46728933361777397,0.08683382166093329,-5.381420795256883,7.390021855164052e-8,0.626698739164679
